31	2
31	39
31	40
31	42
19	2
19	15
19	23
19	39
28	2
28	7
28	45
34	1
34	34
34	35
39	2
39	7
39	19
39	37
23	2
23	15
23	23
23	43
23	44
40	1
40	31
40	34
32	1
32	34
32	35
29	2
29	23
29	39
1	2
1	23
1	39
22 	2
22 	11
22 	13
22 	19
22 	20
22 	42
22 	44
26	2
26	23
26	41
2	2
2	9
2	23
2	43
35	2
35	3
35	13
13	2
13	22
43	2
43	9
43	38
36	2
36	3
36	13
18	2
18	23
18	43
18	44
10	1
10	34
10	35
11	1
11	34
11	35
24	2
24	13
24	23
21	2
21	7
21	42
17	2
17	13
17	23
9	2
9	13
9	23
6	2
6	13
6	23
27	2
27	13
27	23
42	2
42	13
42	23
30	2
30	13
30	23
33	2
33	13
33	23
38	2
38	7
38	15
38	46
15	2
15	6
15	13
15	23
37	2
37	6
37	13
37	23
41	2
41	7
41	20
25	2
25	7
25	20
25	46
25	48
8	1
8	7
8	11
8	43
14	1
14	30
14	36
5	2
5	7
5	11
5	46
16	2
16	7
16	11
16	46
7	2
7	7
4	46
20	2
20	7
20	9
3	1
3	34
3	35
4	1
4	34
4	35
12	1
12	34
12	35
44	2
44	18
45	1
45	24
